name,url,promoted_content,query,tweet_volume
#MarchAgainstImportedGovt,http://twitter.com/search?q=%23MarchAgainstImportedGovt,,%23MarchAgainstImportedGovt,2372022.0
Macron,http://twitter.com/search?q=Macron,,Macron,1221849.0
Le Pen,http://twitter.com/search?q=%22Le+Pen%22,,%22Le+Pen%22,539466.0
Everton,http://twitter.com/search?q=Everton,,Everton,205980.0
The French,http://twitter.com/search?q=%22The+French%22,,%22The+French%22,132386.0
Melenchon,http://twitter.com/search?q=Melenchon,,Melenchon,120105.0
Diaz,http://twitter.com/search?q=Diaz,,Diaz,116586.0
ONE OF US,http://twitter.com/search?q=%22ONE+OF+US%22,,%22ONE+OF+US%22,108483.0
