"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
48,Ireland,"1,509,536",,"6,996 ",,"1,406,802","+8,866","95,738",44,"299,678","1,389","12,016,948","2,385,643"
49,Norway,"1,423,220",,"2,871 ",,N/A,N/A,N/A,20,"258,878",522,"11,002,430","2,001,298"
50,Kazakhstan,"1,305,447",+7,"13,660 ",,"1,290,975",+11,812,24,"68,058",712,"11,575,012","603,447"
51,Hong Kong,"1,201,431",+523,"9,236 ",+9,N/A,N/A,N/A,115,"157,946","1,214","44,972,952","5,912,352"
52,Singapore,"1,180,124","+2,709","1,325 ",+1,"1,109,387",,"69,412",9,"198,899",223,"23,712,995","3,996,614"
53,Morocco,"1,164,670",+56,"16,065 ",+1,"1,148,154",+46,451,293,"30,894",426,"11,237,010","298,071"
54,Bulgaria,"1,152,538",,"36,842 ",,"959,432",,"156,264",109,"168,151","5,375","9,793,023","1,428,765"
55,Croatia,"1,117,175",+894,"15,778 ",+6,"1,096,829",+649,"4,568",22,"275,190","3,887","4,762,146","1,173,045"
56,Cuba,"1,101,486",+266,"8,523 ",,"1,091,603",+310,"1,360",23,"97,355",753,"12,920,253","1,141,955"
57,Lebanon,"1,096,320",+93,"10,374 ",+2,"1,079,455",+409,"6,491",186,"161,929","1,532","4,795,578","708,319"
58,Lithuania,"1,054,175",+713,"9,053 ",+5,"1,016,073","+1,772","29,049",40,"397,224","3,411","8,213,343","3,094,874"
59,Tunisia,"1,039,532",,"28,533 ",,N/A,N/A,N/A,29,"86,329","2,370","4,563,397","378,972"
60,Slovenia,"1,003,970","+1,043","6,576 ",+7,"980,501","+1,844","16,893",30,"482,805","3,162","2,640,107","1,269,616"
61,Finland,"1,000,472",,"3,638 ",,"46,000",,"950,834",31,"180,063",655,"10,644,579","1,915,790"
62,Nepal,"978,732",+18,"11,951 ",,"966,498",+17,283,,"32,536",397,"5,613,608","186,616"
63,Belarus,"977,434",+528,"6,922  ",+2,"928,536",,"41,976",,"103,501",733,"13,092,771","1,386,400"
64,Bolivia,"904,294",,"21,907 ",,"854,575",,"27,812",220,"75,610","1,832","2,693,845","225,238"
65,UAE,"896,892",+261,"2,302 ",,"879,426",+372,"15,164",,"88,750",228,"154,143,355","15,253,006"
66,Uruguay,"895,775",,"7,197 ",,"886,654",,"1,924",18,"256,270","2,059","6,091,188","1,742,615"
67,New Zealand,"878,575","+7,984",627 ,+17,"818,286","+5,796","59,662",,"175,641",125,"6,983,031","1,396,020"
68,Ecuador,"866,925",,"35,528 ",,N/A,N/A,N/A,759,"47,828","1,960","2,470,170","136,279"
69,Costa Rica,"847,784",,"8,383 ",,"829,515",,"9,886",43,"163,729","1,619","4,240,743","818,999"
70,Guatemala,"841,341",,"17,496 ",,"821,185",,"2,660",5,"45,447",945,"4,402,305","237,799"
71,Latvia,"816,994",+696,"5,743 ",+4,"802,678",+951,"8,573",9,"441,947","3,107","7,151,531","3,868,572"
72,Azerbaijan,"792,476",+19,"9,707 ",,"782,634",+13,135,,"76,910",942,"6,792,132","659,181"
73,Panama,"771,005",,"8,182 ",,"759,495",,"3,328",9,"173,761","1,844","5,820,472","1,311,754"
74,Saudi Arabia,"753,332",+91,"9,076 ",+1,"740,467",+223,"3,789",45,"21,048",254,"41,817,866","1,168,393"
75,Sri Lanka,"663,131",+40,"16,502 ",+2,"642,574",+3,"4,055",,"30,736",765,"6,486,117","300,630"
76,Paraguay,"649,034",,"18,795 ",,"624,673",,"5,566",5,"89,025","2,578","2,623,300","359,827"
77,Kuwait,"631,076",,"2,555 ",,"627,610",,911,8,"143,937",583,"7,986,760","1,821,636"
78,Myanmar,"612,733",+19,"19,434 ",,"591,609",+26,"1,690",,"11,127",353,"7,891,077","143,299"
79,Palestine,"581,816",,"5,353 ",,"575,899",,564,17,"109,466","1,007","3,078,533","579,210"
80,Dominican Republic,"578,954",,"4,376 ",,"574,297",,281,16,"52,423",396,"3,261,060","295,280"
81,Estonia,"570,076",+355,"2,531 ",,"506,711",+876,"60,834",7,"429,228","1,906","3,310,467","2,492,553"
82,Bahrain,"565,464",,"1,475 ",,"560,405",,"3,584",3,"312,742",816,"9,693,244","5,361,061"
