"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical"
152.0,Andorra,,,,517
153.0,Burundi,+34,,,"38,076"
154.0,Mauritius,,,,"1,010"
155.0,Mayotte,,,,"33,887"
156.0,Togo,+4,,,25
157.0,Guinea,,,,43
158.0,Faeroe Islands,,,,"26,937"
159.0,Aruba,,,,126
160.0,Tanzania,,,,
161.0,Bahamas,,,,352
162.0,Lesotho,,,,"8,058"
163.0,Mali,+11,,+1,201
164.0,Haiti,,,,416
165.0,Isle of Man,,,,"1,535"
166.0,Benin,,,,"1,283"
167.0,Somalia,,,,"11,953"
168.0,Congo,,,,"3,516"
169.0,Saint Lucia,,,,112
170.0,Timor-Leste,,,,16
171.0,Cayman Islands,,,,"13,176"
172.0,Burkina Faso,,,,32
173.0,Nicaragua,,,,"14,041"
174.0,Gibraltar,,+1,,"1,025"
175.0,South Sudan,,,,"3,770"
177.0,Liechtenstein,+27,,+50,206
178.0,San Marino,,,,364
179.0,Equatorial Guinea,,,,26
180.0,Djibouti,,,,11
181.0,CAR,,,,"7,677"
182.0,Grenada,,,,240
183.0,Bermuda,,,,293
184.0,Solomon Islands,,,,"1,104"
185.0,Dominica,,,,22
186.0,Gambia,,,,39
187.0,Greenland,,,,"9,189"
188.0,Yemen,,,,669
189.0,Monaco,+27,,+34,188
190.0,Saint Martin,,,,"8,817"
191.0,Sint Maarten,,,,59
192.0,Eritrea,,,,1
193.0,Caribbean Netherlands,,,,166
194.0,Tonga,,,,"1,236"
195.0,Niger,+6,,+9,98
196.0,Guinea-Bissau,,,,538
197.0,Comoros,,,,7
198.0,Sierra Leone,,,,
199.0,Antigua and Barbuda,,,,34
200.0,Liberia,,,,"1,391"
201.0,Chad,,,,"2,329"
202.0,Samoa,,,,"5,567"
203.0,Vanuatu,+140,,+92,790
204.0,St. Vincent Grenadines,,,,24
205.0,British Virgin Islands,,,,
206.0,Sao Tome and Principe,,,,5
207.0,Turks and Caicos,,,,43
208.0,Saint Kitts and Nevis,,,,1
209.0,Cook Islands,,,,636
210.0,St. Barth,,,,
211.0,Palau,,,,511
212.0,Kiribati,,,,466
213.0,Anguilla,,,,6
214.0,Saint Pierre Miquelon,,,,191
216.0,Wallis and Futuna,,,,9
217.0,Montserrat,,,,7
218.0,Falkland Islands,,,,
221.0,Marshall Islands,,,,8
224.0,Niue,,,,1
228.0,China,"+2,988",+12,"+3,127","30,662"
,Total:,"+534,417","+1,428","+499,564","41,412,540"
